| Поверхность атаки               | Класс угроз                                    | Типовые меры митигации                                                                                                                                                                                                                                                                                  |
| ------------------------------- | ---------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Входной интерфейс               | Переопределение целей агента                   | Жёсткое разделение системных инструкций, пользовательского ввода и служебного контекста; неизменяемый системный контур; фильтрация промптов по сигнатурам инъекций; проверка пользовательского ввода на попытки переопределения ролей и инструкций; контекстная валидация задач перед передачей агенту. |
| Входной интерфейс               | Неправомерное использование инструментов       | Явное разграничение прав на вызов инструментов; политика разрешённых действий (allow-list); подтверждение критичных операций человеком; запрет прямого выполнения команд из пользовательского ввода без промежуточной проверки.                                                                         |
| Входной интерфейс               | Нарушение идентификации и эскалация привилегий | Многофакторная аутентификация; привязка действий агента к субъекту доступа; использование короткоживущих токенов; контроль делегирования полномочий; проверка контекста сессии и происхождения запроса.                                                                                                 |
| Входной интерфейс               | Утечка конфиденциальных данных                 | Маскирование ПДн и служебных данных во входном потоке; DLP-контроль запросов и ответов; ограничение включения чувствительных данных в контекст модели; аудит обращений к данным ограниченного доступа.                                                                                                  |
| Входной интерфейс               | DoS                                            | Ограничение частоты запросов; квотирование потребления токенов и вычислительных ресурсов; защита от рекурсивных и чрезмерно длинных запросов; очереди обработки и деградация сервиса под нагрузкой.                                                                                                     |
| Платформа исполнения            | Выполнение вредоносного кода                   | Изоляция среды исполнения (контейнеры, microVM, sandbox); запрет привилегированного режима; SELinux/AppArmor/seccomp; выполнение кода от непривилегированного пользователя; ограничение системных вызовов и доступа к файловой системе.                                                                 |
| Платформа исполнения            | Неправомерное использование инструментов       | Разделение инструментов по уровням доверия; контроль параметров вызова; отдельные сервисные учётные записи для каждого инструмента; журналирование всех операций агента.                                                                                                                                |
| Платформа исполнения            | Нарушение идентификации и эскалация привилегий | Принцип минимально необходимых привилегий; сегментация сервисных учётных записей; ротация секретов; централизованное управление доступом; исключение хранения ключей в промптах и памяти агента.                                                                                                        |
| Платформа исполнения            | DoS                                            | Ограничение CPU/RAM/диска на контейнер; тайм-ауты исполнения; автоматическое завершение зависших задач; защита от fork bomb и бесконтрольного порождения процессов.                                                                                                                                     |
| Интеграция с внешними сервисами | Неправомерное использование инструментов       | Шлюз доступа к API с политиками безопасности; проверка допустимости запросов; контроль схемы и типов данных; ограничение сетевых направлений; deny-by-default для внешних интеграций.                                                                                                                   |
| Интеграция с внешними сервисами | Утечка конфиденциальных данных                 | Межсетевое экранирование; TLS с взаимной аутентификацией; исключение передачи ПДн во внешние LLM/API без правового основания; обезличивание данных перед отправкой; контроль трансграничной передачи данных в соответствии с 152-ФЗ.                                                                    |
| Интеграция с внешними сервисами | Выполнение вредоносного кода                   | Проверка и санация данных из RAG и внешних API; запрет автоматического исполнения полученного контента; антивирусная проверка вложений и артефактов.                                                                                                                                                    |
| Интеграция с внешними сервисами | DoS                                            | Ограничение количества внешних вызовов; circuit breaker; кэширование; защита от каскадной деградации смежных систем; мониторинг аномального потребления API.                                                                                                                                            |
| Память агента                   | Отравление памяти и контекста                  | Разделение памяти по арендаторам и сессиям; TTL для записей памяти; верификация источника сохраняемого контекста; запрет автоматического закрепления пользовательских инструкций в долговременной памяти.                                                                                               |
| Память агента                   | Утечка конфиденциальных данных                 | Шифрование хранилищ; контроль доступа на уровне записей; исключение хранения избыточных ПДн; автоматическое удаление устаревших данных; журналирование обращений к памяти.                                                                                                                              |
| Память агента                   | Нарушение идентификации и эскалация привилегий | Привязка памяти к идентификатору субъекта; контроль межсессионного доступа; защита от подмены идентификаторов контекста.                                                                                                                                                                                |
| Внутренние цепочки рассуждений  | Переопределение целей агента                   | Исключение раскрытия внутренних рассуждений пользователю; отделение промежуточного контекста от пользовательского; контроль целостности системных инструкций на каждом шаге orchestration-контура.                                                                                                      |
| Внутренние цепочки рассуждений  | Утечка конфиденциальных данных                 | Не сохранять CoT в журналы и пользовательские ответы; фильтрация служебного контекста; минимизация данных во внутренних шагах обработки.                                                                                                                                                                |
| Внутренние цепочки рассуждений  | Отравление памяти и контекста                  | Проверка промежуточных выводов независимым валидатором; повторная верификация критичных решений; ограничение глубины и рекурсивности reasoning-цепочек.                                                                                                                                                 |
| Коммуникация между агентами     | Сговор агентов                                 | Централизованный диспетчер взаимодействия; контроль допустимых маршрутов коммуникации; независимый аудит действий агентов; корреляция событий безопасности между агентами.                                                                                                                              |
| Коммуникация между агентами     | Нарушение идентификации и эскалация привилегий | Взаимная аутентификация агентов; подпись сообщений; контроль доверенных агентов; сегментация полномочий по ролям.                                                                                                                                                                                       |
| Коммуникация между агентами     | Утечка конфиденциальных данных                 | Сквозное шифрование межагентного обмена; маркирование чувствительных данных; запрет передачи секретов между агентами вне утверждённых сценариев.                                                                                                                                                        |
| Коммуникация между агентами     | DoS                                            | Ограничение количества межагентных запросов; защита от циклических вызовов; квотирование межагентного взаимодействия; обнаружение аномальной активности и автоматическое размыкание циклов.                                                                                                             |
